SEQ_ID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
201,108807,111100,1111,Allan Hancock College,Santa Maria,CA,www.hancockcollege.edu/,webprod.cccco.edu/npc/611/npcalc.htm,12
202,108852,746501,7465,American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,WWW.AADA.EDU,www.aada.edu/admissions/costs.html,11
203,108870,2222000,22220,American Film Institute Conservatory,Los Angeles,CA,www.AFI.com,www.afi.com/conservatory/admissions/fa_cost.aspx,11
204,108977,1307400,13074,American Beauty College,West Covina,CA,www.american-beauty-college.com,www.american-beauty-college.com,21
205,109040,2241800,22418,American Career College-Los Angeles,Los Angeles,CA,americancareercollege.edu/,americancareercollege.edu/getting-started/financial-aid.html,11
206,109086,2099200,20992,American Conservatory Theater,San Francisco,CA,www.act-sf.org,www.actaccess.org/netpricecalculator/npcalc.htm,11
207,109208,123200,1232,American River College,Sacramento,CA,www.arc.losrios.edu/,www.losrios.edu/lrc/npcalc.php?c=arc,21
208,109332,1112100,11121,Everest College-Hayward,Hayward,CA,www.bryman.edu,www.Everest.edu/npc,12
209,109350,111300,1113,Antelope Valley College,Lancaster,CA,www.avc.edu,webprod.cccco.edu/npc/621/npcalc.htm,21
210,109651,111600,1116,Art Center College of Design,Pasadena,CA,www.artcenter.edu,www.artcenter.edu/accd/admissions/financial_aid/net_price_calculator.jsp,12
211,109721,902200,9022,Associated Technical College-Los Angeles,Los Angeles,CA,www.atcla.edu,atcla.edu/NetPriceCalculator/npcalc.htm,11
212,109730,2553500,25535,Associated Technical College-San Diego,San Diego,CA,www.associatedtechcollege.com,www.associatedtechcollege.com,11
213,109785,111700,1117,Azusa Pacific University,Azusa,CA,www.apu.edu,www.apu.edu/sfs/undergraduate/cost/calculator/,21
214,109819,111800,1118,Bakersfield College,Bakersfield,CA,www.bakersfieldcollege.edu/,webprod.cccco.edu/npc/521/npcalc.htm,11
215,109907,111900,1119,Barstow Community College,Barstow,CA,www.barstow.edu,webprod.cccco.edu/npc/911/npcalc.htm,32
216,109934,705000,7050,Bellus Academy-National City,National City,CA,www.bellusacademy.edu,www.bellusacademy.edu,21
217,110060,3266300,32663,Bethesda University of California,Anaheim,CA,www.buc.edu,www.buc.edu,11
218,110097,112200,1122,Biola University,La Mirada,CA,www.biola.edu,undergrad.biola.edu/finaid/#net-price,21
219,110185,112300,1123,Brooks Institute,Santa Barbara,CA,www.brooks.edu,brooks.studentaidcalculator.com,13
220,110194,2543400,25434,Brownson Technical School,Anaheim,CA,www.brownson.edu,www.brownson.edu,11
221,110219,716400,7164,Bryan University,Los Angeles,CA,www.bryancollege.edu,www.bryanuniversity.edu/w_tuition_financial_aid.aspx?,11
222,110246,807300,8073,Butte College,Oroville,CA,www.butte.edu,webprod.cccco.edu/npc/111/npcalc.htm,42
223,110316,1215400,12154,California Institute of Integral Studies,San Francisco,CA,www.ciis.edu,npc.collegeboard.org/student/app/ciis,11
224,110334,112400,1124,Cabrillo College,Aptos,CA,www.cabrillo.edu,webprod.cccco.edu/npc/411/npcalc.htm,22
225,110361,112500,1125,California Baptist University,Riverside,CA,www.calbaptist.edu,calbaptist.studentaidcalculator.com/welcome.aspx,11
226,110370,112700,1127,California College of the Arts,San Francisco,CA,www.cca.edu,www.cca.edu/admissions/financialaid/calculator,11
227,110404,113100,1131,California Institute of Technology,Pasadena,CA,www.caltech.edu,www.finaid.caltech.edu/,12
228,110413,113300,1133,California Lutheran University,Thousand Oaks,CA,www.callutheran.edu/,www.callutheran.edu/financial_aid/getting_started/calculator.php,12
229,110422,114300,1143,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,calpoly.edu,www.csumentor.edu/finaid/pais/,23
230,110468,1111700,11117,Alliant International University,San Diego,CA,www.alliant.edu,www.alliant.edu/_resources/net-price-cal/npcalc.htm,11
231,110486,799300,7993,California State University-Bakersfield,Bakersfield,CA,www.csub.edu,www.csumentor.edu/finaid/pais/,11
232,110495,115700,1157,California State University-Stanislaus,Turlock,CA,www.csustan.edu,www.csumentor.edu/FinAid/PAIS/,23
233,110510,114200,1142,California State University-San Bernardino,San Bernardino,CA,www.csusb.edu,www.csumentor.edu/FinAid/pais/,12
234,110529,114400,1144,California State Polytechnic University-Pomona,Pomona,CA,www.csupomona.edu,www.csumentor.edu/finaid/pais/,21
235,110538,114600,1146,California State University-Chico,Chico,CA,www.csuchico.edu,www.csuchico.edu/fa/awardInfo/cost.shtml,13
236,110547,114100,1141,California State University-Dominguez Hills,Carson,CA,www.csudh.edu,www.csumentor.edu/finaid/pais/,13
237,110556,114700,1147,California State University-Fresno,Fresno,CA,www.csufresno.edu,www.collegeportraits.org/CA/CSUFRESNO/costs,11
238,110565,113700,1137,California State University-Fullerton,Fullerton,CA,www.fullerton.edu,www.csumentor.edu/finaid/pais/,21
239,110574,113800,1138,California State University-East Bay,Hayward,CA,www.csueastbay.edu,www20.csueastbay.edu/prospective/cost-and-financial-aid/cost-of-attendance/,12
240,110583,113900,1139,California State University-Long Beach,Long Beach,CA,www.csulb.edu,www.csumentor.edu/finaid/pais/,11
241,110592,114000,1140,California State University-Los Angeles,Los Angeles,CA,www.calstatela.edu,www.csumentor.edu/finaid/pais/,11
242,110608,115300,1153,California State University-Northridge,Northridge,CA,www.csun.edu,www.csumentor.edu/finaid/pais/,11
243,110617,115000,1150,California State University-Sacramento,Sacramento,CA,www.csus.edu,www.csumentor.edu/finaid/pais/,11
244,110635,131200,1312,University of California-Berkeley,Berkeley,CA,www.berkeley.edu,calculator.berkeley.edu/,12
245,110644,131300,1313,University of California-Davis,Davis,CA,www.ucdavis.edu,financialaid.ucdavis.edu/aidEstimator/ucdcalcmain.aspx,23
246,110653,131400,1314,University of California-Irvine,Irvine,CA,www.uci.edu/,www.ofas.uci.edu/content/Calculator.aspx,12
247,110662,131500,1315,University of California-Los Angeles,Los Angeles,CA,www.ucla.edu/,www.fao.ucla.edu/aid_estimator/,11
248,110671,131600,1316,University of California-Riverside,Riverside,CA,WWW.UCR.EDU,www.finaidestimator.ucr.edu/,11
249,110680,131700,1317,University of California-San Diego,La Jolla,CA,www.ucsd.edu,students.ucsd.edu/finances/financial-aid/forms/calculator.html,11
250,110705,132000,1320,University of California-Santa Barbara,Santa Barbara,CA,www.ucsb.edu,www.finaid.ucsb.edu/Prospective/AidEstimator.aspx,22
251,110714,132100,1321,University of California-Santa Cruz,Santa Cruz,CA,www.ucsc.edu/,www2.ucsc.edu/finaidcalc/calculator/index.php,13
